2018-09-05 05:14:09,410 [Worker-4] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
2018-09-05 05:14:39,141 [Worker-11] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.Shakthi:delivery:0.0.1-SNAPSHOT @ C:\Users\My-pc\Desktop\shakthi sftware\delivery\pom.xml.
2018-09-05 05:14:39,141 [Worker-9] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.Shakthi:delivery:0.0.1-SNAPSHOT @ C:\Users\My-pc\Desktop\shakthi sftware\delivery\pom.xml.
2018-09-05 05:14:41,719 [Worker-9] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-09-05 05:14:41,737 [Worker-9] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 5 resources
2018-09-05 05:14:41,781 [Worker-9] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-09-05 05:14:41,919 [Worker-9] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\My-pc\Desktop\shakthi sftware\delivery\src\test\resources
2018-09-05 05:14:42,384 [Worker-4] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-09-05 05:14:42,398 [Worker-4] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 5 resources
2018-09-05 05:14:42,431 [Worker-4] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-09-05 05:14:42,438 [Worker-4] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\My-pc\Desktop\shakthi sftware\delivery\src\test\resources
